WKT,id,typ,ranking
"MULTIPOLYGON (((22.7550075334516 53.0243587248709,22.7562470526202 53.0250611190664,22.7567841775932 53.0247409099478,22.7562780405994 53.0237906119186,22.7557048441731 53.0234358948889,22.7547151869946 53.023776089544,22.7550075334516 53.0243587248709)))","31","4","0.45"
"MULTIPOLYGON (((22.7558132209112 53.0279430011333,22.7580753433938 53.0270546790625,22.7592322279511 53.0264762367838,22.7581166606994 53.0254949507754,22.7576540397208 53.0258136941008,22.7561624537442 53.0264012663141,22.7548835815347 53.0270753377153,22.7558132209112 53.0279430011333)))","32","0","0.75"
"MULTIPOLYGON (((22.7760819416487 53.0178163877593,22.7799091120588 53.019157362898,22.7810890928263 53.0187251762316,22.7802591157223 53.0181132626311,22.7781476393981 53.0176632758735,22.7766810425802 53.0172069575015,22.7760819416487 53.0178163877593)))","33","0","0.85"
"MULTIPOLYGON (((22.772857704491 53.0167228430011,22.7739954177149 53.0171759695222,22.7750490090082 53.0177234238217,22.7752224163581 53.0166742359581,22.7742291690966 53.016370180674,22.7726617809759 53.0161350724559,22.772857704491 53.0167228430011)))","34","0","0.60"
"MULTIPOLYGON (((22.7837902366324 53.0177808299825,22.7845726479533 53.0177957291065,22.7860910589348 53.0172586041335,22.7876611165483 53.0167834551189,22.7897063231764 53.0163289647571,22.7885081213135 53.0149654936716,22.7864009387269 53.0159364503537,22.7858638137539 53.0156678878672,22.7841904628763 53.0162153421666,22.7841037142566 53.0167620277041,22.7837902366324 53.0177808299825)))","35","0","0.80"
"MULTIPOLYGON (((22.7667057061175 53.0227181025625,22.7693446385013 53.0223548355484,22.7707172543071 53.0220803575562,22.7701521180366 53.0214041021122,22.7683220351872 53.0217040879849,22.7680844606799 53.0212805856023,22.7659153021349 53.0219829797978,22.7667057061175 53.0227181025625)))","36","0","0.70"
"MULTIPOLYGON (((22.8275323164703 53.0041713475788,22.8284607980706 53.004183738036,22.8277492323248 53.0019505424018,22.8295981817513 53.0008969511085,22.8290713861046 53.0003391674827,22.8263857612394 53.0007523405388,22.8271811193726 53.0029731457158,22.8275323164703 53.0041713475788)))","37","1","0.90"
"MULTIPOLYGON (((22.8345046117935 53.0248196710617,22.8358267655733 53.0246957191448,22.8354858978019 53.0238693730325,22.8345872464047 53.0235698225667,22.8345046117935 53.0248196710617)))","38","0","0.40"
"MULTIPOLYGON (((22.9054979241999 53.0035175980847,22.9098583390814 53.0061132609429,22.9132463581421 53.009026130989,22.9142999494354 53.008489006016,22.9105607332769 53.005018352344,22.9085878319336 53.0035825759738,22.9066734652904 53.0024204264003,22.9054979241999 53.0035175980847)))","39","0","0.90"
"MULTIPOLYGON (((22.899048698999 53.000000002319,22.9051060771698 53.0035567827878,22.9059289559331 53.0028906428365,22.9045966760306 53.0014408088249,22.9008305078037 53.0000000023232,22.899048698999 53.000000002319)))","40","0","0.95"
"MULTIPOLYGON (((22.9371794074217 53.00951160933,22.9405364385032 53.0103999314008,22.9452982579758 53.0116187919166,22.9453499046078 53.0104515780329,22.9415177245117 53.009077777621,22.9408367389304 53.0096691640138,22.9377268617212 53.0088918497458,22.9371794074217 53.00951160933)))","41","0","0.85"
"MULTIPOLYGON (((22.9464758011859 53.0123005274593,22.9492252516604 53.0128255157464,22.9497088803506 53.0125174433138,22.9527938607402 53.0128827421056,22.9525804330911 53.0118047197919,22.9494631609838 53.0115112775,22.9466810470697 53.0111586151729,22.9464758011859 53.0123005274593)))","42","0","0.85"
"MULTIPOLYGON (((22.9544431170764 53.00385775259,22.955504937304 53.0036943482409,22.9554209978524 53.0030041336951,22.9550904594074 53.0023843741108,22.9538096229332 53.0024463500692,22.9544431170764 53.00385775259)))","43","3","0.95"
"MULTIPOLYGON (((22.9256388615501 53.0029298275395,22.9290871154155 53.0028514581335,22.9317908599236 53.0028514581335,22.9347688973528 53.0028514581335,22.9367281325036 53.0030081969455,22.9384522594363 53.0032824898666,22.9398629087449 53.0036743368968,22.9416654050836 53.004222922739,22.9428409461741 53.0044580309571,22.9441732260767 53.0048890626903,22.9473471870209 53.0044580309571,22.9489929445476 53.004183738036,22.9511481032135 53.0036743368968,22.9541653253457 53.0032824898666,22.9538126630186 53.0026555346184,22.9501293009351 53.0032433051636,22.947543110536 53.0037135215998,22.9453487671671 53.004026999224,22.9435462708284 53.00410536863,22.9420964368168 53.0035567827878,22.9402939404781 53.0028906428365,22.9380995971092 53.0023028722913,22.9358268843343 53.0021069487762,22.9322610763598 53.0018326558551,22.9292830389306 53.001715101746,22.9260698932833 53.001793471152,22.9256388615501 53.0029298275395)))","44","0","1.00"
"MULTIPOLYGON (((22.9547186036568 53.0136846571975,22.9618148508969 53.014387051393,22.9621557186682 53.0128479817587,22.9605771125913 53.0126196467561,22.9605030264435 53.0131785202037,22.9570736900771 53.0127860058003,22.9572699472788 53.0124244793761,22.9551007887338 53.012192069532,22.9547186036568 53.0136846571975)))","45","0","0.80"
"MULTIPOLYGON (((22.9790183440238 53.0183535127324,22.9811048679576 53.0187150391566,22.9803818151092 53.0166491738757,22.9792043505729 53.01644855008,22.977159065271 53.0161946835139,22.977210711903 53.0167524671397,22.9791526252671 53.0176924358425,22.9790183440238 53.0183535127324)))","46","4","0.95"
"MULTIPOLYGON (((22.9671861006273 53.0147227545012,22.9706980716049 53.0150532929461,22.9703877923943 53.0136664361659,22.9695721750268 53.0136071872495,22.9679504707812 53.0134315887006,22.9671861006273 53.0147227545012)))","47","4","0.85"
"MULTIPOLYGON (((22.9660085574171 53.0127601824843,22.9674097549651 53.0125300797784,22.9671964299537 53.0113760527461,22.9665560117166 53.0114586873573,22.9666068935349 53.0098509617937,22.9652855045688 53.0100022523343,22.965595384361 53.0114380287045,22.9660085574171 53.0127601824843)))","48","0","0.70"
"MULTIPOLYGON (((22.9903289564369 53.0178990223707,22.9923431750858 53.0176614478634,22.9940785019218 53.0177337531482,22.9924671270027 53.0165665392645,22.9920539539465 53.0161946835139,22.9919196727033 53.0168144430982,22.9903289564369 53.0178990223707)))","49","4","0.70"
"MULTIPOLYGON (((22.9916924275224 53.0402516847104,22.9933141317679 53.0404376125856,22.9955039489657 53.0381548314502,22.9972684986632 53.0347869910915,22.9976731075107 53.0331037908383,22.9963509537309 53.0328352283518,22.9955659249241 53.0343639686597,22.9916924275224 53.0402516847104)))","50","0","0.85"
"MULTIPOLYGON (((22.9906854685566 53.0466599561053,22.9929581813315 53.0469734337294,22.9929581813315 53.04607218556,22.9908422073686 53.0456019691239,22.9906854685566 53.0466599561053)))","51","0","0.50"
"MULTIPOLYGON (((22.938308387109 53.052175576714,22.9395494311208 53.0521066298245,22.9393280782639 53.0513396897567,22.9379592715653 53.0514073572274,22.938308387109 53.052175576714)))","52","4","0.80"
"MULTIPOLYGON (((22.9216699238251 53.0533492705915,22.924014680919 53.0535351984668,22.9241677953646 53.0521940617813,22.9218578550091 53.0518683009619,22.9216699238251 53.0533492705915)))","53","0","0.55"
"MULTIPOLYGON (((22.8694579176933 53.0435566986682,22.8703886917233 53.0436784387451,22.8700168359727 53.044546102163,22.8707410926248 53.0445439821424,22.8711685558669 53.0434227879165,22.8695029519841 53.0433169123209,22.8694579176933 53.0435566986682)))","54","3","0.85"
"MULTIPOLYGON (((22.8707410926248 53.0445439821424,22.875414083354 53.0453347959581,22.8756882307922 53.0446075588051,22.8710153855459 53.0437994727851,22.8707410926248 53.0445439821424)))","55","0","0.65"
"MULTIPOLYGON (((22.8717728214615 53.0512240116837,22.875000735963 53.0512601643261,22.875026559279 53.0507798506482,22.8728677300604 53.0506920513738,22.8729968466405 53.0500619624631,22.871555905607 53.0502272316856,22.8717728214615 53.0512240116837)))","56","3","0.90"
"MULTIPOLYGON (((22.8569872618662 53.0550846672537,22.8593775287502 53.0545752661145,22.858907312314 53.0535956485391,22.8583950526017 53.0537572789844,22.858587436306 53.0540645764449,22.8567502837884 53.0545317184054,22.8569872618662 53.0550846672537)))","57","3","0.90"
"MULTIPOLYGON (((22.8852332249327 53.0596914770039,22.8858633138433 53.0596604890247,22.8869014111471 53.0581524073697,22.8882442235797 53.0584003112034,22.8912810455426 53.0546920830241,22.8896799999499 53.0537624436477,22.8874695240993 53.0559522608455,22.8855585987145 53.058493275141,22.8852332249327 53.0596914770039)))","58","0","0.75"
"MULTIPOLYGON (((22.8484841813118 53.0369029650543,22.8495492757019 53.0372974973585,22.8509643934193 53.0361716007804,22.8563872897818 53.0334859759152,22.8551847655275 53.0330236794557,22.8517365116621 53.0339641123281,22.8481315189846 53.0363543792121,22.8484841813118 53.0369029650543)))","59","0","0.85"
"MULTIPOLYGON (((22.8373727651554 53.0341109503238,22.8383522858792 53.0341780407843,22.8382569738246 53.0329061253467,22.8375182209688 53.0331215949296,22.8373727651554 53.0341109503238)))","60","3","0.85"
"MULTIPOLYGON (((22.8208981503885 53.0333371570799,22.8220164561702 53.0337648677282,22.8229874128523 53.0326802884557,22.8219441508854 53.0325666658652,22.8209525355506 53.0323290913579,22.8208981503885 53.0333371570799)))","61","4","0.60"
"MULTIPOLYGON (((22.8269177215493 53.0547024123504,22.8308635242359 53.0535971744251,22.8335548094627 53.0525376615577,22.8329913654752 53.0519134942212,22.829154747333 53.0532108539317,22.8274544365665 53.0539739943294,22.8269177215493 53.0547024123504)))","62","0","0.75"
"MULTIPOLYGON (((22.8259921617806 53.0519107063094,22.826854225247 53.0515580439823,22.8284258032044 53.050353765934,22.83183068253 53.0477179430867,22.8314780202028 53.0472085419475,22.8306943261425 53.0475612042746,22.8284216133676 53.0488542994742,22.8263056394047 53.0500298405646,22.8254043912354 53.0512445663581,22.8259921617806 53.0519107063094)))","63","0","0.80"
"MULTIPOLYGON (((22.8284981084892 53.0315802151936,22.8290877533189 53.0306725972748,22.828909281975 53.0304842108563,22.8278112082833 53.031234182759,22.8284981084892 53.0315802151936)))","64","3","0.70"
"MULTIPOLYGON (((22.8287742756947 53.031299552523,22.8303418932524 53.0317093317736,22.8345717524151 53.0330624735326,22.837436172932 53.033679665906,22.8374762206862 53.0334072707316,22.8346595516896 53.0327835817197,22.8318551395707 53.0318074603745,22.8289362826977 53.0309755385171,22.8287742756947 53.031299552523)))","65","0","0.95"
"MULTIPOLYGON (((22.7643555738478 53.0478153339701,22.7655956971591 53.0476943465624,22.7653936711515 53.0457546333523,22.766160623637 53.0458811676008,22.7659220120572 53.0452884914997,22.7644588671119 53.0454512093892,22.7643555738478 53.0478153339701)))","66","3","0.80"
"MULTIPOLYGON (((22.762983159331 53.0400377412956,22.7640378703292 53.0397560143393,22.7644278791326 53.039191637588,22.7623000378933 53.0390470270183,22.762983159331 53.0400377412956)))","67","3","0.90"
"MULTIPOLYGON (((22.7644588671119 53.0454512093892,22.7662045232742 53.0452342935347,22.7643943088218 53.039664204271,22.7627390342655 53.0401096564722,22.7644588671119 53.0454512093892)))","68","0","0.85"
"MULTIPOLYGON (((22.7666835457864 53.0556682043694,22.7679540529341 53.0568044302739,22.7703401273336 53.058260865297,22.771651951787 53.0579406561784,22.7722307492427 53.0573573800286,22.7705983604937 53.0568250889267,22.7698753076454 53.0559780841616,22.7672542919597 53.0544185273024,22.7666835457864 53.0556682043694)))","69","0","0.80"
"MULTIPOLYGON (((22.7294018688463 53.0325534630195,22.7316745816213 53.0330236794557,22.7341040332082 53.0334547111889,22.7337121861781 53.0347869910915,22.7348877272686 53.0346302522794,22.7351228354867 53.0326318324256,22.7326541991967 53.0323967242075,22.7297153464705 53.0320440618803,22.7294018688463 53.0325534630195)))","70","1","0.85"
"MULTIPOLYGON (((22.7182144727981 53.0579651883284,22.7194097695773 53.0586504752282,22.7200367248255 53.058258628198,22.7189943369417 53.0574848746506,22.7176118715623 53.0568024714913,22.7161331135276 53.0569064323719,22.7182144727981 53.0579651883284)))","71","4","0.90"
"MULTIPOLYGON (((22.7070274034242 53.043485995161,22.7085927052522 53.0430031590313,22.7076935433755 53.0415267600102,22.7068986957218 53.0399869957211,22.7054600153036 53.0406646965438,22.7058910470368 53.0418010529313,22.7070274034242 53.043485995161)))","72","0","0.65"
"MULTIPOLYGON (((22.7090265369612 53.0492214135269,22.7111026125379 53.0488151147712,22.7105932113987 53.0478746818988,22.7096919632293 53.0457195232329,22.7085556068419 53.0457587079359,22.7078489937511 53.0463085434808,22.7084274360297 53.0478166251359,22.7090265369612 53.0492214135269)))","73","0","0.65"
"MULTIPOLYGON (((22.6854758167655 53.0474436501656,22.6869256507771 53.0477963124927,22.6870432048861 53.0467383255113,22.6864946190439 53.0463072937781,22.6857892943896 53.0463856631842,22.6854758167655 53.0474436501656)))","74","3","0.85"
"MULTIPOLYGON (((22.6859068484986 53.0461505549661,22.6870040201831 53.0463072937781,22.6879444530555 53.0402336648107,22.6875917907283 53.0392540472353,22.686690542559 53.0399201871865,22.6859068484986 53.0461505549661)))","75","0","0.90"
"MULTIPOLYGON (((22.7011952218405 53.0354452554282,22.7018158379231 53.0351004687156,22.701463175596 53.0339641123281,22.7006184652678 53.0324775754249,22.6996061912801 53.0298177738757,22.6983976600908 53.0305253327344,22.6993376287936 53.0322348362544,22.6983305194692 53.0331334876516,22.6993472016331 53.0341600358432,22.7011952218405 53.0354452554282)))","76","1","0.80"
"MULTIPOLYGON (((22.6942923749441 53.0473652807596,22.6956638395496 53.0474828348686,22.6957422089556 53.0468950643234,22.6953111772225 53.0463072937781,22.6946450372712 53.0465815866993,22.6942923749441 53.0473652807596)))","77","4","0.75"
"MULTIPOLYGON (((22.6789319713618 53.0446615362515,22.6795981113131 53.0448574597666,22.6857892943896 53.0402728495137,22.6857501096866 53.0397634483745,22.6846137532991 53.0398810024835,22.6826153334453 53.0408998047619,22.6805777288885 53.0425455622886,22.6786576784407 53.0438778421912,22.6789319713618 53.0446615362515)))","78","0","0.85"
"MULTIPOLYGON (((22.7091918061837 53.0333865561485,22.7137573684545 53.0332626042317,22.7140465895939 53.0324775754249,22.7102557268034 53.0323432941817,22.7091918061837 53.0333865561485)))","79","0","0.65"
"MULTIPOLYGON (((22.6579909454231 53.0545676369395,22.6603198894659 53.0546688420398,22.6594935433535 53.0539457891914,22.6588066431476 53.0538270019378,22.6577478871911 53.0537701906426,22.6576859112327 53.0539148012122,22.6579909454231 53.0545676369395)))","80","0","0.60"
"MULTIPOLYGON (((22.6364320309892 53.0341096089968,22.6368867850257 53.0346694369824,22.6380623261162 53.0332979723768,22.6403158577174 53.0304530274495,22.6398303793763 53.0299882077613,22.6392209491185 53.0296576693164,22.6377880331951 53.0314954760381,22.6358226007313 53.0338307171839,22.6364320309892 53.0341096089968)))","81","0","0.90"
"MULTIPOLYGON (((22.6362422296166 53.0525616594532,22.6341866936621 53.0530677964471,22.6341143883773 53.0538528252538,22.6333209770513 53.0526552156667,22.6323805441789 53.0526552156667,22.6329683147241 53.0540658649753,22.6331331023688 53.0545242314701,22.6368103425689 53.0534396521976,22.6362422296166 53.0525616594532)))","82","1","0.80"
"MULTIPOLYGON (((22.6664864973295 53.0544415968589,22.6682011655127 53.0548341112622,22.6694265326175 53.0546577721222,22.6698641870638 53.0539871064971,22.6694974959764 53.0535377807985,22.6687537844753 53.0539922711603,22.6671837268618 53.0539561185178,22.6664864973295 53.0544415968589)))","83","0","0.60"
"MULTIPOLYGON (((22.598692001728 53.0295188953094,22.5991689859844 53.0299830430981,22.6000024615334 53.0303591669672,22.5997887455686 53.0295647053787,22.5987992536942 53.0291052091541,22.598692001728 53.0295188953094)))","84","3","0.75"
"MULTIPOLYGON (((22.5805826542851 53.0545500547862,22.5838306971421 53.0551238519567,22.585868301699 53.0559467307201,22.587957793338 53.0570910690817,22.5889907259785 53.0565229561295,22.5880626450679 53.0554765142839,22.5862601487291 53.0546536355205,22.5839874359542 53.0537915720542,22.5815122936615 53.0535377807985,22.5805826542851 53.0545500547862)))","85","0","0.75"
"MULTIPOLYGON (((22.620429209759 53.0578275964648,22.6236094634237 53.0563318635909,22.626346734921 53.0559393491876,22.625479071503 53.0552059670128,22.6242705403136 53.0551749790336,22.6221925213947 53.055907546017,22.6198289299596 53.0569412938488,22.620429209759 53.0578275964648)))","86","0","0.70"
"MULTIPOLYGON (((22.5753276165877 53.0556332530959,22.5764247882721 53.0548495590356,22.5752492471817 53.0543401578964,22.5726084143007 53.0534654755137,22.5709389298499 53.0528511391818,22.5709389298499 53.0517539674974,22.5700376816805 53.0517931522004,22.5695612630113 53.0523912255676,22.5696129096433 53.0533931702289,22.5705078981167 53.0541050496783,22.5753276165877 53.0556332530959)))","87","1","0.85"
"MULTIPOLYGON (((22.5585398717376 53.0497675766609,22.5607900917688 53.0489326688802,22.56304345805 53.0483627882698,22.5628668810286 53.0477571277897,22.5601631365205 53.0481881595229,22.5577445136044 53.0487553026732,22.5585398717376 53.0497675766609)))","88","0","0.70"
"MULTIPOLYGON (((22.5520220667762 53.046606802781,22.5530416482953 53.0464810930108,22.552286318817 53.0448944161152,22.5494087471958 53.0439108485894,22.5489171267549 53.0430941481308,22.547115636734 53.042599024136,22.5480556054368 53.0443240216456,22.5505346437739 53.0454189302445,22.5520220667762 53.046606802781)))","89","0","0.75"
"MULTIPOLYGON (((22.5346147101541 53.0358057933699,22.5359909521962 53.0362981350292,22.5363780217899 53.0352963922307,22.5362996523838 53.0338073735161,22.5363421492939 53.0324866135859,22.534813408986 53.0324556256067,22.5348443969652 53.0342942457067,22.5346147101541 53.0358057933699)))","90","0","0.65"
"MULTIPOLYGON (((22.5059739296642 53.0419895938782,22.5070275209575 53.0420722284894,22.5070275209575 53.0412148943978,22.5076989271738 53.04060546414,22.507185418043 53.0389797543142,22.5064077613732 53.0397481300484,22.5056950378513 53.0401509737781,22.5059739296642 53.0419895938782)))","91","4","0.70"
"MULTIPOLYGON (((22.5085356026126 53.0516888313722,22.5097691159971 53.0517858492788,22.5099403910036 53.0511517063991,22.5086105206632 53.050863125408,22.5085356026126 53.0516888313722)))","92","3","0.65"
"MULTIPOLYGON (((22.5087628477935 53.0518850885739,22.5095478766002 53.0552627783082,22.5099074784098 53.0590168653804,22.5107770664424 53.0590639704251,22.5104465279974 53.055180143697,22.5096395243264 53.0518511195926,22.5087628477935 53.0518850885739)))","93","0","0.85"
"MULTIPOLYGON (((22.5098577563923 53.06005558576,22.5106841025047 53.060158879024,22.5107764572601 53.0592468791608,22.5098540840306 53.059170014725,22.5098577563923 53.06005558576)))","94","3","0.70"
"MULTIPOLYGON (((22.5001275309192 53.0711802702978,22.5041167061952 53.0708200730123,22.5036395018967 53.0700956910253,22.5001378602456 53.070343594859,22.5001275309192 53.0711802702978)))","95","0","0.60"
